Standingstill,Distance covered,Mean,Max distance covered,Starting -ending position,Label
300,8.746968858,0.014578281,0.071741228,0.373784492,StandingStill
300,11.01808781,0.01836348,0.117145273,28.2394031,StandingStill
300,11.35440058,0.018924001,0.123319878,15.66949076,StandingStill
300,6.357863108,0.010596439,0.068474346,14.35486194,StandingStill
300,10.99155537,0.018319259,0.121963586,1.507395167,StandingStill
300,8.111956138,0.013519927,0.069255575,0.393113558,StandingStill
300,8.807006436,0.014678344,0.080753568,3.447819286,StandingStill
300,7.706952845,0.012844921,0.103338143,16.09594839,StandingStill
300,8.49256936,0.014154282,0.062054087,2.791886,StandingStill
300,13.26335685,0.022105595,0.131850009,2.245426091,StandingStill
300,12.19287646,0.020321461,0.176519003,2.144772604,StandingStill
300,7.681504208,0.012802507,0.065819228,0.492995749,StandingStill
300,13.82672539,0.023044542,0.119827835,1.700493618,StandingStill
296,19.80049876,0.033000831,0.665631373,9.222914381,StandingStill
300,12.82305913,0.021371765,0.243331136,1.751559803,StandingStill
300,10.70305853,0.017838431,0.126982652,1.267468393,StandingStill
300,9.116984476,0.015194974,0.097915655,0.77752603,StandingStill
300,9.087351217,0.015145585,0.073992418,1.67198789,StandingStill
300,10.50541433,0.017509024,0.108882731,0.932298686,StandingStill
300,9.565995081,0.015943325,0.071119708,3.099521022,StandingStill
300,9.710116347,0.016183527,0.079398074,1.189477046,StandingStill
300,8.830399435,0.014717332,0.07518741,4.564093943,StandingStill
300,10.53373771,0.01755623,0.086806206,0.855191071,StandingStill
300,12.75033231,0.021250554,0.114646904,4.378348994,StandingStill
300,14.36152308,0.023935872,0.168903623,20.08791283,StandingStill
300,12.53202534,0.020886709,0.119633859,4.386784916,StandingStill
299,25.38811474,0.042313525,0.544959689,11.7704925,StandingStill
300,12.99197197,0.021653287,0.107928739,3.608445982,StandingStill
300,10.6097766,0.017682961,0.104180007,0.452172401,StandingStill
300,10.56103105,0.017601718,0.102547089,4.43151286,StandingStill
300,11.14447095,0.018574118,0.103089738,1.782608528,StandingStill
300,10.84384256,0.018073071,0.089595999,12.50837017,StandingStill
300,12.91802149,0.021530036,0.182921689,2.472500704,StandingStill
300,11.56338229,0.019272304,0.138851494,0.127534173,StandingStill
300,12.77272576,0.021287876,0.231992132,1.33427205,StandingStill
300,10.9145989,0.018190998,0.151886396,0.906420625,StandingStill
300,18.31265666,0.030521094,0.214587299,1.980108521,StandingStill
300,10.41686413,0.01736144,0.118032903,0.919306305,StandingStill
300,8.227535768,0.01371256,0.061007189,0.753982258,StandingStill
300,11.46721499,0.019112025,0.129470473,15.82569469,StandingStill
300,13.97089982,0.023284833,0.157643521,6.784940969,StandingStill
300,11.01650924,0.018360849,0.106569934,1.774330861,StandingStill
296,28.98514819,0.04830858,0.676147793,39.24556679,StandingStill
300,10.83990222,0.018066504,0.098169321,1.315949751,StandingStill
300,12.03038821,0.020050647,0.157994188,24.26354437,StandingStill
300,7.598936013,0.012664893,0.096853235,15.93638068,StandingStill
300,8.95725309,0.014928755,0.144342183,17.35134577,StandingStill
300,11.73383474,0.019556391,0.159775726,0.61613544,StandingStill
300,13.96098889,0.023268315,0.15764325,4.955481891,StandingStill
300,9.622691674,0.016037819,0.102551093,3.581262646,StandingStill
300,8.379157479,0.013965262,0.061741917,6.420202936,StandingStill
300,8.122775089,0.013537958,0.069631548,0.101699868,StandingStill
300,9.393472746,0.015655788,0.079375208,7.849725144,StandingStill
300,9.835830065,0.01639305,0.090292155,2.311218439,StandingStill
300,10.57207272,0.017620121,0.197332056,4.075608562,StandingStill
300,6.206038636,0.010343398,0.071377422,12.84089845,StandingStill
300,9.11636038,0.015193934,0.124112818,11.003432,StandingStill
300,9.177287051,0.015295478,0.072745269,2.021071271,StandingStill
300,8.827346657,0.014712244,0.105986254,9.992490603,StandingStill
300,17.66197593,0.029436627,0.17940704,0.897550217,StandingStill
300,13.86837613,0.02311396,0.137815361,3.872672752,StandingStill
300,11.88395843,0.019806597,0.223500168,14.49177752,StandingStill
300,9.799921879,0.016333203,0.083572838,3.238487493,StandingStill
300,7.816382142,0.013027304,0.1402406,11.9312008,StandingStill
300,6.736817966,0.01122803,0.072114962,3.211330752,StandingStill
300,9.640042584,0.016066738,0.161180675,13.41772924,StandingStill
300,10.62334434,0.017705574,0.137255501,4.073167833,StandingStill
299,12.58547816,0.020975797,0.501956511,6.828082473,StandingStill
300,6.489686584,0.010816144,0.063843798,63.88917606,StandingStill
300,16.83805756,0.028063429,0.164667987,2.737578985,StandingStill
300,14.16772262,0.023612871,0.492467753,8.360438861,StandingStill
300,8.843085591,0.014738476,0.075393244,0.558314877,StandingStill
300,8.948838601,0.014914731,0.083210479,1.921033937,StandingStill
300,9.853836335,0.016423061,0.081322092,1.545428052,StandingStill
300,12.46262057,0.020771034,0.143199535,2.327011348,StandingStill
300,9.009778373,0.015016297,0.096850347,3.751400779,StandingStill
300,8.85136345,0.014752272,0.095373468,4.309343725,StandingStill
300,12.80985731,0.021349762,0.117674493,0.370194287,StandingStill
300,21.77850014,0.0362975,0.423065154,0.447129259,StandingStill
300,11.27238279,0.018787305,0.093899236,3.126253849,StandingStill
300,9.761492204,0.016269154,0.10627177,0.82928558,StandingStill
300,11.21531936,0.018692199,0.124766868,2.424398501,StandingStill
300,13.04910785,0.021748513,0.169659168,11.41809575,StandingStill
300,17.32831412,0.028880524,0.187436178,16.75530977,StandingStill
300,9.146170226,0.015243617,0.071236099,0.112469296,StandingStill
300,9.400137319,0.015666896,0.175930903,20.39722413,StandingStill
300,12.30290891,0.020504848,0.126385444,15.53204001,StandingStill
300,6.722079208,0.011203465,0.101001476,19.35611635,StandingStill
300,7.503041373,0.012505069,0.094751825,11.58216427,StandingStill
